request_id,vendor_id,resource_category,vendor_category,distance_km,stock_quantity,required_quantity,vendor_rating,avg_response_time,urgency_level,category_match,price,active_status,past_success_rate,delivery_capacity,hour_of_day,day_of_week,match_score
2,1,grocery,transport,19.9711,108,31,3.09,9,medium,0,59.56,1,0.41,219,15,1,60.79
1,4,medical,support,38.3758,168,19,3.28,7,low,0,239.23,1,0.65,225,22,1,66.33
3,2,pharmacy,grocery,17.1089,36,41,4.34,6,high,0,171.55,1,0.68,46,21,3,56.48
1,3,medical,support,36.6818,148,19,3.21,57,low,0,107.93,1,0.53,169,22,1,52.6
5,3,support,support,48.1976,93,24,3.21,57,low,1,118.98,1,0.53,169,15,6,61.43
2,3,grocery,support,42.4923,69,31,3.21,57,medium,0,79.34,1,0.53,169,15,1,53.64
5,3,support,support,48.1976,109,24,3.21,57,low,1,86.2,1,0.53,169,15,6,58.65
5,2,support,grocery,19.3714,36,24,4.34,6,low,0,243.03,1,0.68,46,15,6,67.91
3,3,pharmacy,support,38.4245,88,41,3.21,57,high,0,69.92,1,0.53,169,21,3,55.61
2,3,grocery,support,42.4923,60,31,3.21,57,medium,0,110.98,1,0.53,169,15,1,55.3
